storm_names,eff_land_sp,direct,angled,cross,press_mbars,max_sust_winds_kts,storm_surge,storm_tide,moon_phase,low_neap,high_neap,high_ebb,high_tide_line,low_tide_line,norm_cost,cost_category
Edouard,12.35418301,0,1,0,996,55,0,0,4,0,0,1,1.1,0.7,0,minimal
Fay,11.33390141,1,0,0,992,55,5,0,16,1,0,0,3.1,0.8,2099894.25,high
Gustav,17.10762415,0,1,0,954,90,12.5,13.63,1,0,0,1,0.9,0.8,74062380.27,severe
Hanna,25.13348738,0,1,0,981,60,0,0,6,1,0,0,5.1,1.1,0,minimal
Ike,13.42032452,1,0,0,950,95,0,17.5,12,0,1,0,1.3,0.4,374918269,catastrophic
Claudette,13.83335388,0,1,0,1005,40,3,3.5,24,0,1,0,2,-0.1,0,minimal
Bonnie,9.899412545,0,1,0,1006,35,0,0,11,1,0,0,2,-0.2,0,minimal
Irene,12.42099898,0,1,0,952,75,0,0,26,0,0,0,3.3,0,0,minimal
Irene,27.35380757,0,0,1,959,60,0,0,27,0,0,1,4.5,-0.2,122964298.2,catastrophic
Lee,6.116497316,1,0,0,986,40,0,6.25,6,0,0,0,2.1,0,29875849.91,severe
Beryl,10.49991261,1,0,0,996,55,0,0,6,0,0,1,4.3,0.3,1668.216579,minimal
Debby,11.73573335,1,0,0,995,35,0,0,6,0,0,1,3.3,0.7,3441572.865,high
Isaac,7.480091667,1,0,0,967,70,0,0,12,1,0,0,1.3,0.3,28016572.32,severe
Sandy,20.3594355,1,0,0,942,70,0,0,13,0,0,1,4,0.1,603962121.1,catastrophic
Andrea,21.17253697,1,0,0,992,50,0,0,26,0,1,0,4.1,-0.2,985.1168112,minimal
Arthur,21.15689417,0,0,1,973,85,0,0,6,0,0,1,3,0.3,0,minimal
Ana,4.638955923,1,0,0,1002,40,0,0,20,1,0,0,4.7,0.1,0,minimal
Bill,8.177852111,1,0,0,997,50,0,0,27,0,1,0,0.5,0.1,0,minimal
Colin,27.48469586,1,0,0,1001,45,0,0,2,0,1,0,3.4,-0.3,0,minimal
Hermine,32.70250066,0,1,0,981,70,0,0,1,0,0,1,3.8,1,0,minimal
Cindy,11.73573335,1,0,0,991,45,0,0,26,0,0,0,0.1,0,0,minimal
Emily,9.842561788,1,0,0,1001,50,0,0,7,0,0,0,2,0.7,0,minimal
Harvey,2.831137501,1,0,0,937,115,0,0,4,0,1,0,0.3,0.1,1409580769,catastrophic
Harvey,7.480091667,1,0,0,991,40,0,0,8,0,0,1,1.3,0.1,0,minimal
Irma,11.1720853,1,0,0,931,115,0,0,18,0,1,0,2.2,0.2,517762939.8,catastrophic
Nate,19.10620931,1,0,0,984,65,0,0,16,0,0,1,1.9,0.5,0,minimal
